name,code,parent_code,depth,display_order,is_active
디자인,001,,0,1,true
그래픽 디자인,001001,001,1,1,true
로고 디자인,001001001,001001,2,1,true
브랜딩,001001002,001001,2,2,true
패키지 디자인,001001003,001001,2,3,true
웹 디자인,001002,001,1,2,true
웹사이트 디자인,001002001,001002,2,1,true
랜딩페이지 디자인,001002002,001002,2,2,true
모바일 앱 디자인,001002003,001002,2,3,true
일러스트레이션,001003,001,1,3,true
캐릭터 디자인,001003001,001003,2,1,true
패션 일러스트,001003002,001003,2,2,true
웹툰/만화,001003003,001003,2,3,true
개발,002,,0,2,true
웹 개발,002001,002,1,1,true
프론트엔드 개발,002001001,002001,2,1,true
백엔드 개발,002001002,002001,2,2,true
풀스택 개발,002001003,002001,2,3,true
모바일 앱 개발,002002,002,1,2,true
안드로이드 개발,002002001,002002,2,1,true
iOS 개발,002002002,002002,2,2,true
크로스 플랫폼 개발,002002003,002002,2,3,true
게임 개발,002003,002,1,3,true
유니티 개발,002003001,002003,2,1,true
언리얼 개발,002003002,002003,2,2,true
2D 게임 개발,002003003,002003,2,3,true
마케팅,003,,0,3,true
소셜 미디어 마케팅,003001,003,1,1,true
인스타그램 마케팅,003001001,003001,2,1,true
페이스북 마케팅,003001002,003001,2,2,true
유튜브 마케팅,003001003,003001,2,3,true
콘텐츠 마케팅,003002,003,1,2,true
블로그 작성,003002001,003002,2,1,true
SEO 최적화,003002002,003002,2,2,true
이메일 마케팅,003002003,003002,2,3,true
번역,004,,0,4,true
영어 번역,004001,004,1,1,true
일본어 번역,004002,004,1,2,true
중국어 번역,004003,004,1,3,true
